,zinc_id,smiles,first_affinity,last_affinity,mean_affinity,chembldocid,reference.pubmed_id,reference.chembl_id
395,ZINC000027425005,Cc1nc(N)nc(N)c1NC(=O)C12CC3CC(CC(C3)C1)C2,8.05,8.05,8.05,7631,7069721,CHEMBL1122041
396,ZINC000027426017,CC1=CN(C)C2=N[C@H](N)NC(=O)C2=C1,5.96,6.3,6.13,12635,7990119,CHEMBL1127798
397,ZINC000027426021,CC1=CN(C)C2=N[C@@H](N)NC(=O)C2=C1,5.96,6.3,6.13,12635,7990119,CHEMBL1127798
398,ZINC000027427514,CCCN1C(C)=CC=C2C(=O)N[C@@H](N)N=C21,9.3,5.23,6.431,12635,7990119,CHEMBL1127798
399,ZINC000027427518,CCCN1C(C)=CC=C2C(=O)N[C@H](N)N=C21,9.3,5.23,6.431,12635,7990119,CHEMBL1127798
400,ZINC000027428053,CC1=C2C(=O)N[C@H](N)N=C2N(C)C=C1,5.29,5.29,5.29,12635,7990119,CHEMBL1127798
401,ZINC000027428058,CC1=C2C(=O)N[C@@H](N)N=C2N(C)C=C1,5.29,5.29,5.29,12635,7990119,CHEMBL1127798
402,ZINC000027428075,CCCN1C=CC=C2C(=O)N[C@@H](N)N=C21,5.77,6.08,6.20375,12635,7990119,CHEMBL1127798
403,ZINC000027428079,CCCN1C=CC=C2C(=O)N[C@H](N)N=C21,5.77,6.08,6.20375,12635,7990119,CHEMBL1127798
404,ZINC000027428525,CCCN1C=C(C)C=C2C(=O)N[C@@H](N)N=C21,5.34,5.34,5.34,12635,7990119,CHEMBL1127798
405,ZINC000027428530,CCCN1C=C(C)C=C2C(=O)N[C@H](N)N=C21,5.34,5.34,5.34,12635,7990119,CHEMBL1127798
406,ZINC000027428535,CC1=CC=C2C(=O)N[C@@H](N)N=C2N1C,5.96,5.54,5.75,12635,7990119,CHEMBL1127798
407,ZINC000027428540,CC1=CC=C2C(=O)N[C@H](N)N=C2N1C,5.96,5.54,5.75,12635,7990119,CHEMBL1127798
408,ZINC000027519636,C=CCN(Cc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)c1ccc2nc(N)nc(N)c2c1,8.27,8.27,8.27,9629,3339615,CHEMBL1124218
409,ZINC000027519638,C=CCN(Cc1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc1)c1ccc2nc(N)nc(N)c2c1,8.27,8.27,8.27,9629,3339615,CHEMBL1124218
